Nome da Microzona,Carreira,Sentido,Interface,Codigo de Paragem (SIP),Paragens  - Nome,Localização,Destino
Cais do Sodré,201,A,Metro; Comboio; Barco,03805,Cais Sodré,Cais Sodré,Linda-a-Velha
Cais do Sodré,201,A,Metro; Comboio; Barco,03802,Cais Sodré,Av. 24 Julho,Linda-a-Velha
Conde Barão,201,A,-,07102,Conde Barão - Av. 24 Julho,Av. 24 Julho,Linda-a-Velha
Santos,201,A,Comboio,03902,Santos,Av. 24 Julho,Linda-a-Velha
Pç. Armada,201,A,-,03906,Cais Rocha (Museu Nac. Arte Antiga),Av. 24 Julho,Linda-a-Velha
Pç. Armada,201,A,-,10202,Av. Infante Santo,Av. 24 Julho,Linda-a-Velha
Alcântara Mar,201,A,Comboio,04004,Alcântara - Av. 24 Julho,Av. 24 Julho,Linda-a-Velha
Calvário,201,A,-,12102,Calvário,Lg. Fontainhas,Linda-a-Velha
Calvário,201,A,-,12108,Estação Sto. Amaro,R. 1º Maio,Linda-a-Velha
Junqueira,201,A,-,09504,R. Junqueira (Centro Congressos),R. Junqueira,Linda-a-Velha
Junqueira,201,A,-,09506,Hosp. Egas Moniz,R. Junqueira,Linda-a-Velha
Altinho,201,A,-,09508,R. Pinto Ferreira,R. Junqueira,Linda-a-Velha
Altinho,201,A,-,04114,Altinho,R. Junqueira,Linda-a-Velha
Altinho,201,A,Autocarro; Comboio; Barco,04110,Belém,R. Junqueira,Linda-a-Velha
Belém,201,A,-,09604,Mosteiro Jerónimos,Lg. Jerónimos,Linda-a-Velha
Belém,201,A,-,09608,R. Jerónimos,R. Jerónimos,Linda-a-Velha
Belém,201,A,-,09614,Av. Restelo (Estádio),Av. Restelo,Linda-a-Velha
Alto do Duque,201,A,-,09714,Av. Restelo,Av. Restelo,Linda-a-Velha
Alto do Duque,201,A,-,09712,Av. D. Vasco Gama,Av. Restelo,Linda-a-Velha
Alto do Duque,201,A,-,09709,R. Alto Duque,Av. D. Vasco Gama,Linda-a-Velha
Algés,201,A,-,04205,R. D. Jerónimo Osório,Av. D. Vasco Gama,Linda-a-Velha
Algés,201,A,Autocarro; Comboio,04207,Algés,Av. Bombeiros Voluntários Algés,Linda-a-Velha
Algés,201,A,-,04202,Algés (Mercado),Av. Bombeiros Voluntários Algés,Linda-a-Velha
Algés,201,A,-,04224,R. Latino Coelho,Av. Bombeiros Voluntários Algés,Linda-a-Velha
Av. Bombeiros Voluntários,201,A,-,18404,Av. Bombeiros V. Algés (Cinema),Av. Bombeiros Voluntários Algés,Linda-a-Velha
Av. Bombeiros Voluntários,201,A,-,18402,Av. Bombeiros V. Algés,Av. Bombeiros Voluntários Algés,Linda-a-Velha
Estação de Miraflores,201,A,-,14312,Esc. Sec. Miraflores,Av. General Norton Matos,Linda-a-Velha
Estação de Miraflores,201,A,-,14310,Miraflores,Av. General Norton Matos,Linda-a-Velha
Estação de Miraflores,201,A,-,14308,Miraflores Norte,Al. Fernão Lopes,Linda-a-Velha
Estação de Miraflores,201,A,-,14306,Al. Fernão Lopes (Est. Miraflores),Al. Fernão Lopes,Linda-a-Velha
Miraflores,201,A,-,94901,Av. José Gomes Ferreira,Av. José Gomes Ferreira,Linda-a-Velha
Miraflores,201,A,-,94904,Linda-a-Velha,Al. António Sérgio,Linda-a-Velha
Miraflores,201,D,-,94903,Linda-a-Velha,Al. António Sérgio,Cais Sodré
Miraflores,201,D,-,94902,Av. José Gomes Ferreira,Av. José Gomes Ferreira,Cais Sodré
Estação de Miraflores,201,D,-,14305,Al. Fernão Lopes (Est. Miraflores),Al. Fernão Lopes,Cais Sodré
Estação de Miraflores,201,D,-,14307,Miraflores Norte,Al. Fernão Lopes,Cais Sodré
Estação de Miraflores,201,D,-,14309,Miraflores,Av. General Norton Matos,Cais Sodré
Estação de Miraflores,201,D,-,14311,Esc. Sec. Miraflores,Av. General Norton Matos,Cais Sodré
Av. Bombeiros Voluntários,201,D,-,18401,Av. Bombeiros V. Algés,Av. Bombeiros Voluntários Algés,Cais Sodré
Av. Bombeiros Voluntários,201,D,-,18403,Av. Bombeiros V. Algés (Cinema),Av. Bombeiros Voluntários Algés,Cais Sodré
Algés,201,D,-,04225,R. Latino Coelho,Av. Bombeiros Voluntários Algés,Cais Sodré
Algés,201,D,-,04213,Algés (Mercado),Av. Bombeiros Voluntários Algés,Cais Sodré
Algés,201,D,Autocarro; Comboio,04210,Algés,Interface Algés (P. D. Manuel I),Cais Sodré
Algés,201,D,-,04204,R. D. Jerónimo Osório,Av. D. Vasco Gama,Cais Sodré
Alto do Duque,201,D,-,09710,R. Alto Duque,Av. D. Vasco Gama,Cais Sodré
Alto do Duque,201,D,-,09711,Av. D. Vasco Gama,Av. Restelo,Cais Sodré
Alto do Duque,201,D,-,09713,Av. Restelo,Av. Restelo,Cais Sodré
Belém,201,D,-,09613,Av. Restelo (Estádio),Av. Restelo,Cais Sodré
Belém,201,D,-,09607,R. Jerónimos,R. Jerónimos,Cais Sodré
Belém,201,D,-,09603,Mosteiro Jerónimos,R. Belém,Cais Sodré
Altinho,201,D,Autocarro; Comboio; Barco,04109,Belém,Pç. Afonso Albuquerque,Cais Sodré
Altinho,201,D,-,04115,Altinho,R. Junqueira,Cais Sodré
Altinho,201,D,-,09507,R. Pinto Ferreira,R. Junqueira,Cais Sodré
Junqueira,201,D,-,09505,Hosp. Egas Moniz,R. Junqueira,Cais Sodré
